authorMeta/fans,authorMeta/following,authorMeta/heart,musicMeta/musicOriginal,searchHashtag/name,playCount,webVideoUrl
13200000,28,150400000,TRUE,meme,200600000,https://www.tiktok.com/@miso_ara/video/6797294685082619137
1300000,182,35100000,TRUE,meme,79600000,https://www.tiktok.com/@crinka11/video/6958603581675031814
696800,42,15900000,TRUE,meme,106100000,https://www.tiktok.com/@iampets_com/video/7083862667613490474
510200,56,32100000,TRUE,meme,72500000,https://www.tiktok.com/@dailydosevideos_/video/7096466682046188805
3300000,690,137300000,TRUE,meme,62700000,https://www.tiktok.com/@jakeypoov/video/6815382456242326789
646700,86,13000000,FALSE,meme,100800000,https://www.tiktok.com/@jiraer23/video/6931461393459809542
8000000,69,313100000,FALSE,meme,133200000,https://www.tiktok.com/@samuelgrubbs/video/6744084223445044485
227000,208,38100000,TRUE,meme,69400000,https://www.tiktok.com/@movienerd74/video/7045378167200075055
5800000,2775,98400000,TRUE,meme,149500000,https://www.tiktok.com/@thechainzfamily/video/6663279692511972613
8000000,69,313100000,TRUE,meme,83100000,https://www.tiktok.com/@samuelgrubbs/video/6820840648917159174
6900000,561,202000000,TRUE,meme,109300000,https://www.tiktok.com/@gurobelly/video/6952084266587000070
2200000,150,144200000,TRUE,meme,35800000,https://www.tiktok.com/@jennmelon/video/6990844195053243653
150200,52,9300000,TRUE,meme,54000000,https://www.tiktok.com/@lord_balesteak/video/7065340255884283141
10600000,23,282600000,TRUE,meme,65000000,https://www.tiktok.com/@mully/video/6809945626663521541
5000000,0,114600000,FALSE,meme,67800000,https://www.tiktok.com/@_itsstefano_/video/7061454777632263450
3200000,617,47600000,TRUE,funny,299500000,https://www.tiktok.com/@britishpromise.cats/video/6839416095586159878
5100000,37,88400000,TRUE,funny,227100000,https://www.tiktok.com/@funnyvids2k21/video/6915785138202758401
8000000,69,313100000,FALSE,funny,169500000,https://www.tiktok.com/@samuelgrubbs/video/6869149203290000645
1500000,69,22200000,TRUE,funny,110100000,https://www.tiktok.com/@banditthecoon/video/6924780149560986886
7900000,1436,299800000,FALSE,funny,177700000,https://www.tiktok.com/@xtheromanempire/video/7017118510044155142
4100000,279,122700000,FALSE,funny,121800000,https://www.tiktok.com/@the.sign.guy/video/7082756534509309227
8400000,13,179900000,TRUE,funny,153000000,https://www.tiktok.com/@funny_v.i.p/video/7077904540791573806
6000000,295,188700000,TRUE,funny,122600000,https://www.tiktok.com/@hassankhadair/video/6974585687798500613
46500000,263,1300000000,TRUE,funny,152100000,https://www.tiktok.com/@ox_zung/video/6910202622200909058
2200000,6,21400000,TRUE,funny,300600000,https://www.tiktok.com/@lanzk80/video/7086283973344775470
7300000,99,107400000,FALSE,funny,243800000,https://www.tiktok.com/@orzutiextra/video/7082058297372593409
1300000,182,35100000,TRUE,funny,79600000,https://www.tiktok.com/@crinka11/video/6958603581675031814
8400000,13,179900000,TRUE,funny,121700000,https://www.tiktok.com/@funny_v.i.p/video/7085715579541228842
5100000,37,88400000,TRUE,funny,127700000,https://www.tiktok.com/@funnyvids2k21/video/6911397395402165505
4100000,154,128500000,TRUE,funny,144400000,https://www.tiktok.com/@cute__cheese/video/7095718692960374058
2600000,84,58500000,TRUE,funny,112300000,https://www.tiktok.com/@kitty_perferred/video/6866927712745901318
456100,4,14500000,TRUE,jokes,59600000,https://www.tiktok.com/@huynhmeme2006/video/7074930560870780186
1700000,2149,135100000,TRUE,jokes,44300000,https://www.tiktok.com/@deannagiulietti/video/6916914133887716613
343400,1266,10200000,FALSE,jokes,53300000,https://www.tiktok.com/@car_n_mar/video/7039159086134349061
3400000,40,105900000,TRUE,jokes,29000000,https://www.tiktok.com/@aaronneary_/video/6957432596087213317
242100,857,21100000,TRUE,jokes,39800000,https://www.tiktok.com/@kirbylong/video/7051321308407287086
352200,507,14100000,TRUE,jokes,35100000,https://www.tiktok.com/@emiliegriffiths/video/6994146440272497925
508100,1494,27200000,TRUE,jokes,33600000,https://www.tiktok.com/@whatmandi/video/7082862860707056939
68100,88,6600000,TRUE,jokes,26100000,https://www.tiktok.com/@tythetaurus/video/6994875805369109766
274400,1509,7000000,TRUE,jokes,25800000,https://www.tiktok.com/@jenfuh21/video/6851675116326227205
265000,573,8300000,FALSE,jokes,45800000,https://www.tiktok.com/@papaneal97/video/6975714911678680325
792400,705,20900000,FALSE,jokes,33800000,https://www.tiktok.com/@limb_loss_boss/video/7041747816699546927
4600000,2392,57900000,TRUE,jokes,41900000,https://www.tiktok.com/@jessejosephgeneau/video/6823839143303384326
147500,34,6200000,TRUE,jokes,50200000,https://www.tiktok.com/@mj162025/video/7083180871435521326
278600,332,10900000,TRUE,jokes,36900000,https://www.tiktok.com/@frankie4057/video/7063960578779385134
31700,94,5600000,TRUE,jokes,24600000,https://www.tiktok.com/@albatross152/video/7044581719202188590
1300000,182,35100000,TRUE,meme,79600000,https://www.tiktok.com/@crinka11/video/6958603581675031814
960500,1286,41900000,TRUE,meme,78200000,https://www.tiktok.com/@userseif_/video/7011386575951072517
8700000,4,102400000,TRUE,meme,89800000,https://www.tiktok.com/@daddyming/video/6959190085510204673
2400000,440,495500000,TRUE,meme,51300000,https://www.tiktok.com/@dawgmemes/video/7064672341988592901
2400000,20,31200000,TRUE,meme,102300000,https://www.tiktok.com/@daily.wee/video/6985223154612358406
1300000,182,35100000,TRUE,funny,79600000,https://www.tiktok.com/@crinka11/video/6958603581675031814
46500000,263,1300000000,TRUE,funny,160400000,https://www.tiktok.com/@ox_zung/video/6918375185200598273
696800,42,15900000,TRUE,funny,106100000,https://www.tiktok.com/@iampets_com/video/7083862667613490474
3300000,46,35600000,TRUE,funny,143800000,https://www.tiktok.com/@charliethechipmunk/video/6991131155013668102
4600000,1016,70900000,TRUE,jokes,34700000,https://www.tiktok.com/@drake.kiker/video/6801600552594640133
333400,533,15200000,FALSE,jokes,34200000,https://www.tiktok.com/@xanaxpillow/video/6998226814996860166
9700000,140,79100000,TRUE,jokes,28100000,https://www.tiktok.com/@littel_johnny/video/6925900865157074181
1300000,421,32900000,TRUE,jokes,26800000,https://www.tiktok.com/@conlan_k/video/6816530086553013509
875700,240,23300000,FALSE,jokes,27300000,https://www.tiktok.com/@jakeriley__/video/6916365165353061637
3800000,363,73400000,TRUE,comedy,324500000,https://www.tiktok.com/@kisonkee/video/6753718966637677830
7900000,1436,299800000,FALSE,comedy,177700000,https://www.tiktok.com/@xtheromanempire/video/7017118510044155142
55000000,8858,1300000000,TRUE,comedy,226300000,https://www.tiktok.com/@spencerx/video/6793884060658781445
6000000,295,188700000,TRUE,comedy,122600000,https://www.tiktok.com/@hassankhadair/video/6974585687798500613
1600000,50,32200000,FALSE,comedy,91600000,https://www.tiktok.com/@cartertvstar3/video/7034301396639829253
18600000,1644,641700000,TRUE,comedy,126700000,https://www.tiktok.com/@joeyklaasen/video/6783794952003489030
26700000,117,602300000,TRUE,comedy,78500000,https://www.tiktok.com/@daniel.labelle/video/6833473800529579269
3300000,46,35600000,TRUE,comedy,143800000,https://www.tiktok.com/@charliethechipmunk/video/6991131155013668102
359400,63,13800000,TRUE,comedy,76900000,https://www.tiktok.com/@hunainmalik22/video/6829876949532396806
21200000,34,372200000,TRUE,comedy,118300000,https://www.tiktok.com/@mercuri_88/video/6987393714888985862
1300000,977,35700000,TRUE,comedy,109800000,https://www.tiktok.com/@journywithcerebralpalsy/video/7047201507548155142
4700000,224,109200000,TRUE,comedy,86300000,https://www.tiktok.com/@tristan_maloney/video/6964108893177842949
4000000,124,103400000,TRUE,comedy,64200000,https://www.tiktok.com/@youngyosa/video/6865086403806629125
55000000,8858,1300000000,TRUE,comedy,146800000,https://www.tiktok.com/@spencerx/video/6786873432781884677
6900000,69,165300000,TRUE,comedy,73000000,https://www.tiktok.com/@adrianbliss/video/7049825833531477253
1600000,5,57100000,TRUE,comedy,73400000,https://www.tiktok.com/@majorisnotreal/video/7062053199888338222
5400000,3132,121400000,TRUE,comedy,57600000,https://www.tiktok.com/@theverycoolgrandpa/video/6983744245635009797
5800000,2775,98400000,TRUE,comedy,149500000,https://www.tiktok.com/@thechainzfamily/video/6663279692511972613
55000000,8858,1300000000,TRUE,comedy,105800000,https://www.tiktok.com/@spencerx/video/6777235860870941958
104200,495,12800000,TRUE,comedy,53200000,https://www.tiktok.com/@moist_carpetva/video/7070507410154163498
646900,801,17900000,TRUE,laugh,167500000,https://www.tiktok.com/@mafishguy/video/6971132858391956741
177300,5271,12800000,TRUE,laugh,63500000,https://www.tiktok.com/@ttmmff100/video/6925644731653393670
1500000,1922,42800000,FALSE,laugh,92800000,https://www.tiktok.com/@..hinzman78920/video/7033516345148886318
2900000,23,95800000,TRUE,laugh,72600000,https://www.tiktok.com/@funny_p.e.t/video/7050812032903351598
2900000,23,95800000,TRUE,laugh,62200000,https://www.tiktok.com/@funny_p.e.t/video/7109084975391116590
1700000,2149,135100000,TRUE,laugh,44300000,https://www.tiktok.com/@deannagiulietti/video/6916914133887716613
291000,41,9400000,FALSE,laugh,63100000,https://www.tiktok.com/@roadtoaesthetics/video/7058197086990257410
3800000,178,110700000,TRUE,laugh,38700000,https://www.tiktok.com/@odgkenzo/video/7023549971362303237
4300000,407,127600000,TRUE,laugh,43200000,https://www.tiktok.com/@chantyb97/video/7008755405018959106
352200,507,14100000,TRUE,laugh,35100000,https://www.tiktok.com/@emiliegriffiths/video/6994146440272497925
2900000,23,95800000,TRUE,laugh,43500000,https://www.tiktok.com/@funny_p.e.t/video/7112045517869305131
2700000,181,42900000,TRUE,laugh,104500000,https://www.tiktok.com/@ricoanimations0/video/7038985408620891398
198500,8629,8200000,TRUE,laugh,51400000,https://www.tiktok.com/@jogmabeck/video/7081649312085577002
1800000,321,34600000,TRUE,laugh,62700000,https://www.tiktok.com/@entertain_/video/6972535930150227206
484200,183,6500000,TRUE,laugh,94300000,https://www.tiktok.com/@llf2022/video/7042337005128240390
2100000,136,68700000,TRUE,laugh,56800000,https://www.tiktok.com/@kathijunes/video/7083509300097715461
155300,318,7000000,TRUE,laugh,21300000,https://www.tiktok.com/@paiges_shenanigans/video/6935169808468020485
2500000,680,54800000,TRUE,laugh,67900000,https://www.tiktok.com/@misshaleymichelle/video/6942918836635077893
2100000,136,68700000,TRUE,laugh,46600000,https://www.tiktok.com/@kathijunes/video/7084621763811773702
2100000,719,26700000,TRUE,laugh,40800000,https://www.tiktok.com/@curtisroach/video/6806321219369962758
34000000,1996,600500000,TRUE,memes,163800000,https://www.tiktok.com/@spider_slack/video/6909833888189648133
589700,2,21600000,TRUE,memes,91100000,https://www.tiktok.com/@melany_.memes/video/7039460615731154182
2200000,6,21400000,TRUE,memes,300600000,https://www.tiktok.com/@lanzk80/video/7086283973344775470
11600000,2087,233800000,FALSE,memes,57800000,https://www.tiktok.com/@leethe4th/video/6986000865828146438
236100,20,24300000,TRUE,memes,48600000,https://www.tiktok.com/@luffyguyl/video/7000082323597200646
225500,3,16100000,TRUE,memes,83900000,https://www.tiktok.com/@_d.twzrong07_/video/7092393516172578075
10600000,23,282600000,TRUE,memes,65000000,https://www.tiktok.com/@mully/video/6809945626663521541
249600,5565,9700000,TRUE,memes,93800000,https://www.tiktok.com/@suji._nem/video/7062001900262149403
4100000,203,161400000,TRUE,memes,54700000,https://www.tiktok.com/@bob.reese/video/7009411857433873669
286100,0,8900000,FALSE,memes,44200000,https://www.tiktok.com/@comeatmebhai/video/6988689618078027014
456100,4,14500000,TRUE,memes,59600000,https://www.tiktok.com/@huynhmeme2006/video/7074930560870780186
4100000,203,161400000,TRUE,memes,39900000,https://www.tiktok.com/@bob.reese/video/6995017761969736965
